year,pr
1949,3.1574106
1950,3.3759913
1951,2.7797916
1952,3.2549393
1953,2.3807259
1954,2.2407403
1955,2.7208002
1956,1.9165179
1957,3.3885777
1958,2.895934
1959,2.8501005
1960,2.4196925
1961,2.5953457
1962,2.3449514
1963,1.9437183
1964,2.3460138
1965,2.8364105
1966,2.3195546
1967,2.382234
1968,2.6831279
1969,2.6456144
1970,2.6203115
1971,2.5884228
1972,2.9228716
1973,2.9944725
1974,2.839293
1975,2.7503543
1976,1.9984411
1977,2.8152585
1978,2.4510531
1979,2.6970315
1980,2.2497458
1981,2.9039104
1982,3.0651393
1983,2.4542305
1984,2.3159962
1985,2.6673625
1986,2.2382092
1987,2.5854788
1988,2.0500984
1989,2.5768907
1990,3.5236487
1991,2.3327606
1992,2.964857
1993,3.2315416
1994,2.7252173
1995,2.0911918
1996,2.7974303
1997,2.2307873
1998,3.2535777
1999,2.4500935
2000,2.573571
2001,2.6739082
2002,2.7797709
2003,3.105939
2004,2.9480221
2005,2.6562433
2006,3.1959367
2007,2.9687376
2008,3.0729103
2009,3.076349
